,categories,full_description,id,languages,name,prohibited_content,short_description,topic
265,[],This is just another Mastodon instance with the same goal for which federation is there. Initially I started it for myself  but opened it for all. Be responsible and support good cause. ,5a17397729997d1175430174,"['en', 'hi']",mast.datamol.org,"['illegalContentLinks', 'spam', 'advertising']",Mastodon India- Free Speech,
266,[],"A quiet and cozy little Mastodon instance for those tired of the societal cesspool that major social sites have become. This instance is dedicated to the late Paul Kerrane (@as4), an intelligent and decent guy who ""Linden 404'd"" much too soon.",5a514ab3c8c76b1d9b1c8525,['en'],rettiwtkcuf.social,[],A quiet and cozy little Mastodon instance for those tired of the societal cesspool that major social sites have become.,
267,[],"vidja.social is an instance for people who like playing videogames in a social setting. Whether you game on a console or PC, as long as you're interested in  laid-back videogame related discussions then you'll find a home on vidja.social.",5a5830333da0874b8b00615a,['en'],vidja.social,[],Instance for people who like to play videogames socially,Videogames
268,"['activism', 'art', 'books', 'journalism', 'music']","Vegaia.Social is a closed community comprised of people who abstain from the unnecessary use of any animal-derived products whenever practical.

If you believe sentient life is important and you want to join the meme warfare, you've found your place in the fediverse :)",5aa89b4a6b0edf4b2dbb03c2,['en'],vegaia.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']",Vegaia.Social aims to be a vegan home on the fediverse (since animalliberation.social has seemingly gone dark).,Vegan
269,"['anime', 'games', 'tech']",Yet another instance maintained by Maeeko Laboratory,5ab4844fa7983a23962b9dda,"['zh', 'en', 'ja']",mastodon.futa.moe,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Yet another instance maintained by Maeeko Laboratory,
270,[],"Code of Conduct

    Mastodon.social guidelines
    JSConf Code of Conduct

The short version

    Don't harass anyone
    If someone is harassing you, report it to a moderator
    Have fun
    Be excellent to each other

Rules

    No advertising or excessive promotion
    No bots, unless they're cute, funny, or useful. Bots should avoid posting to the public timeline.
    No gore or graphic violence
    Content that is NSFW should be put behind a CW (Content Warning)
    No racism
    No sexism
    No discrimination based on gender, sexual minority, sexual orientation, disability, physical appearance, body size, race, ethnicity, religion (or lack thereof), or national origin
    No xenophobia or violent nationalism
    No sexual depictions of children
    No holocaust denialism, Nazi symbolism, promotion of National Socialism, or anything that is illegal in the European Union
    No stalking or harassment
    No fake accounts, even celebrity joke accounts. Note this rule does not necessarily apply to remote accounts.
    Handling harassment

    If you are being harassed, please report the user using the ""…"" button and then ""Report."" For urgent concerns, please DM a moderator.

    If you engage in harassing behavior, the moderator may take any action they deem appropriate, such as a warning or an expulsion.

    The above rules may change at any time, and you may be banned at any time based on the moderators' judgment.
    Privacy policy

    What will we do with your data? Nothing. How will you be influenced by advertisers? You won't; brands and non-humans (other than fun/useful bots) are banned.
    How will we aggregate your data in order to improve your service? We won't.

    We will never share your data with anyone else, except in the case of valid legal requests . Please don't put me in that situation!

    More privacy information:

    Understand that this instance is run by myself, and (as is the case with all Mastodon servers) I potentially have access to your data, including DMs.

    For truly private data sent between two people, Mastodon offers no end-to-end encryption. So use Signal or WhatsApp for the things you really want to be private.

",5ae175e8c0abae7fc5a1827b,['en'],whitespashe.uk,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Whitespashe.uk is an instance that allows users to post on any topic.,
271,[],"Beep Boop One is the private instance of cartoonist and designer Alex Daily. At the time of this writing, the only accounts are controlled by Alex.",5ae89c61c8ec996cd1ee7db9,"['nl', 'en']",beepboop.one,[],Beep Boop One is a private instance. It is unlikely to ever have open registrations.,private
272,"['academia', 'activism', 'journalism', 'tech']","The Mastodon instance here at Ideali.sh is meant to be a platform for civictech, govtech, nonprofits, or really anyone that is sort of idealish. It's a place to network, share projects & work or just talk. I hope you enjoy it, and find value in it.

Code of Conduct
The Idealish community expects that all network activities, events, and digital forums:
Are a safe and respectful environment for all participants.
Are a place where people are free to fully express their identities.
Presume the value of others. Everyone’s ideas, skills, and contributions have value.
Don’t assume everyone has the same context, and encourage questions.
Find a way for people to be productive with their skills (technical and not) and energy.
Use language such as “yes/and”, not “no/but.”
Encourage members and participants to listen as much as they speak.
Strive to build tools that are open and free technology for public use. Activities that aim to foster public use, not private gain, are prioritized.
Prioritize access for and input from those who are traditionally excluded from the civic process.
Work to ensure that the community is well-represented in the planning, design, and implementation of civic tech. This includes encouraging participation from women, minorities, and traditionally marginalized groups.
Actively involve community groups and those with subject matter expertise in the decision-making process.
Ensure that the relationships and conversations between community members, the local government staff and community partners remain respectful, participatory, and productive.
Provide an environment where people are free from discrimination or harassment.
Idealish reserves the right to ask anyone in violation of these policies to refrain from participating in Idealish network activities, events, and digital forums.",5b4e42de64f5590143c96233,['en'],karass.ideali.sh,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","The Mastodon instance here at Ideali.sh is meant to be a platform for civictech, govtech, nonprofits, or really anyone that is sort of idealish.",
273,"['art', 'books', 'games', 'music', 'tech']","Private instance for our own family.
If you share the Santoyo family name get in touch!",5b70be98ba0ea153975ca1fb,"['en', 'es']",mastodon.santoyo.io,[],Santoyo’s family instance,
274,['anime'],"Kireina Yuri (綺麗な百合, Lit. Beautiful Lilies) is an Anime community that focuses primarily on Japanese media that have Yuri/Lesbian romantic relationships and Girls Club genre shows. With the growing popularity of Yuri anime in 2018 as more Yuri related anime release such as Citrus and Kase-san with more on the way, I wanted to create a community focusing on Yuri and Girls Club anime, manga and video games, which have some yuri elements. ",5b70ca4fba0ea153975ca1ff,['en'],mastodon.ateliershiori.moe,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']",A community for Yuri and Girl's Club fans,yuri
275,"['activism', 'tech']",Venez découvrir Xtenz par vous même. Come and discover Xtenz by yourself.,5b734e72e5583c6f3354cf45,"['en', 'fr']",sysadmin@mastodon.xtenz.xyz,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Open your minds.,
276,[],The social network for the only Grand-Duchy in the world.,5b76b533d2a163622328266d,"['en', 'fr', 'de', 'lb']",grand-duchy.net,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']",The social network for the only Grand-Duchy in the world.,
277,['furry'],"This is a private instance.

Users (or other servers) diffusing sexist, homophobic, racist, transphobic content, relaying insults or threats against a person or a group for their origin, gender identity or sexual orientation, will be blocked or banned on sight. Think twice if your reasons to be an asshole and harass people are ""free speech"" and ""jokes"".

Feel free to contact me or use Mastodon federated report tool if you happen to find such messages on this instance.",5b7bd7d8a6abe47c06ef8975,"['en', 'fr']",shiro.dog,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']",A furry-oriented (single-user) instance made to interact with the fandom 🐎 🐈 🦌 🦊 🐂 🐁 🐇 🐻 🦈 🦎,Furry
278,['sports'],"A social hangout for fans of the Texas Rangers, Dallas Stars, Cowboys, Mavericks, FC Dallas, and all associated affiliates. Chat about our teams or just about anything else.",5b816d9ea981976155ac79ab,['en'],dallassports.fans,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']",A social hangout for fans of the Dallas area sports teams.,"dallas, sports, rangers, stars, cowboys, mavericks, FC dallas, baseball, hockey, football, basketball, soccer, MLB, NHL, NFL, NBA, MLS"
279,['activism'],"Greens, anarchists, socialists, and allies, and others interested in discussions with us are all welcome! We ask that everybody respect Green values. No spam or abuse. non-San Franciscans are also welcome, if you aren't too bored by talk of SF politics.",5b86117640b2bc76dbba9b48,['en'],mastodon.sfgreens.org,"['pornography_nocw', 'spam', 'advertising']",Green Politics in San Francisco,
280,"['activism', 'art', 'humor', 'journalism', 'music', 'tech']","What is talk.houba*?
We're here to provide you with a good place for a talk with some mates! Talk about whatever you want, I'm not your mum. You can swear here, but don't be a dick OK? 
Consider this a friendly, local pub. Make yourself at home, bring your friends, have a good time! Meet new people, have a laugh, enjoy the ambience, and the Oxford commas.
Or simply black dots on yellow ground....
Now go, have fun! Make something, share it with the world. Be nice to each other. Smile, skip across the grass, climb a tree, play a game. 
",5b92ea7136205a4e89370d1f,"['en', 'de']",talk.houbahouba.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","free speech, open talks & privacy at your command",
281,['tech'],"No illegal content including profanity, nudity, sexually explicit content, gore violence, including in artistic depictions etc. will be allowed and user access will be revoked and content deleted immediately.

Welcome to toot.iserv4.me Mastodon instance. 

This instance is owned by Pexus LLC administered from Austin, TX, USA.Pexus LLC provides solutions to empower every user to take control of their data using a personal server hosted in their own home or in a virtual private server in the cloud. With a personal server you can use a domain name registered in your name for a configuring your own e-mail server, file sharing server and decentralized personal social media site instance such as Mastodon just like this one.

For more information on our products and services visit:

    https://store.pexus.net
    https://hosting.pexus.net
    https://www.pexus.com
",5b9597cbad712d34e62a2a10,['en'],toot.iserv4.me,[],"This instance is owned by Pexus LLC administered from Austin, TX, USA. Solutions to empower every individual to manage personal data on their terms.","Personal Server, Decentralized Personal Computing, Privacy, Security"
282,[],"Willkommen auf der Mastodon Instanz kanoa.de!

Entstanden ist kanoa.de aus den beiden Projekten adminforge.de und blabber.im.

Mastodon ist eine dezentralisierte alternative zu Sozialen Netzwerken wie Twitter und bietet dir die Möglichkeit dich ohne Zensur und Einschränkungen frei zu äußern.",5ba388e002530563670824a0,"['en', 'de']",kanoa.de,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']","kanoa.de - eine freie unabhängige Mastodon Instanz. Poste Links, Bilder, Videos und Texte. Folge Freunden und finde neue Freunde.",
283,"['adult', 'art', 'lgbt', 'poc']","Eventide Parlour is a BDSM, DDLG, kink-friendly, LGBTQIA+, sex-positive instance for people within the community or who have similar interests.
While we're a (very) small community now, we are looking to provide a space for open and free expression of the above without fear of judgement. Of course we don't *only* talk about this -any and all conversation is welcome.

We are an affirming, positive and friendly - no trolling, goalkeeping or similar behaviors will be tolerated. Bigotry has no places here, nor does intolerance. 
This is an adult community about adult topics, and we expect people to act accordingly. Anyone found not abiding to this will be promptly removed from the instance.
",5bbbfbdf025305636708250c,['en'],eventideparlour.masto.host,"['nudity_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","BDSM, DDLG, kink-friendly, LGBTQIA+, sex-positive instance. ","BDSM, DDLG, kink, sex positive"
284,[],"Yet Another Mastodon Instance is a sustainable tiny instance.
Feel free to register.",58e4fc95fe1d1315eab0a43a,"['en', 'fr']",mastodon.peshane.net,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",Yet Another Mastodon Instance is a sustainable tiny instance.,
285,"['anime', 'games', 'humor', 'tech']", ,58ee09a89aee4e669a21fffa,"['en', 'ja']",social.tedkulp.com,"['illegalContentLinks', 'spam']", ,
286,[],"Deutsche Instanz mit dem Hang zum Verrückten. Für alle, die Wechseln wollen, steht meine Instanz frei zur Verfügung. Allerdings übernehme ich keine Haftung für Ausfälle und/oder Störungen. PayPal.me: TheRealKingS Twitter: @therealkings86 Web: krinetzki.de Twichteln (wichtigstes Projekt): twichteln.org",58fbe3aec0b12e17d56bb5e0,"['en', 'de']",toot.krinetzki.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']","Deutsche Instanz mit dem Hang zum Verrückten. Für alle, die Wechseln wollen, steht meine Instanz frei zur Verfügung",
287,[],No more to say. ,591025eb645f7a32ad435db4,"['en', 'fr']",mastodon.kebree.fr,"['illegalContentLinks', 'advertising']",Only a comfy little instance managed by a professional sysadmin.,
288,[],A personal instance for myself.,5a21882d8f84ee0616d03221,['en'],m.bonzoesc.net,[],A personal instance for myself.,
289,[],tilde.team is one tiny standard unix computer in the cloud that anyone can use and learn to use in the shared pursuit of cool sites and unix tools.,5a3c1f0467eb6930d0cf7404,['en'],social.tilde.team,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'spam', 'advertising']",hosted by the tilde.team unix user group,"unix, computers, memes"
290,"['games', 'journalism', 'tech']",Mastodon.bitpage.de is an instance provided from the german technology blog bitpage.de. The instance is focused on blogging and technology itself. ,5a6f3b1d9cb01c44f298d277,"['en', 'de']",mastodon.bitpage.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Mastodon.bitpage.de is an instance provided from the german technology blog bitpage.de. The instance is focused on blogging and technology itself.,"Technology, Blogging and Impact of Technology"
291,[],"Made this instance just to make a screenshot for a bad joke.

Rules:
    No sketchy stuff without CWs
    No spam
    No unironic use of the phrase ""dead meme""",5aa35b4f33571a45b3cd58c4,['en'],and.theydonts.top,"['nudity_nocw', 'pornography_nocw', 'spam']",A joke that got out of hand,
292,[],Open to all respectful individuals,5ab63c19128b491edcec9027,"['en', 'fr']",kicou.info,"['illegalContentLinks', 'spam', 'advertising']","Personal instance - FR/EN - Generalistic
",
293,['tech'],"still setting up this instance and improving the setup

be nice to each other",5ab6cc33df31fd1e83827288,"['en', 'de']",vorlon.space,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']","small instance, mainly focussing on technology, free software, digital preservation and science as well as a local community in Göttingen, Germany",
294,['academia'],"Psychoactive.Space is a place to #share and  #research information and #experiences related to #psychoactive #plants, #medicines, and #chemicals. #ayahuasca #coffee #dmt #lsd #mdma #nicotine #psilocybin #thc",5ad05fdd384df834dcb60fa4,['en'],psychoactive.space,[],"Psychoactive.Space is a place to #share information and #experiences related to #psychoactive #plants, #medicines, and #chemicals.",Psychoactive Medicine
295,[],Wir haben ein eigenes microblog weil wir Twitter und Co. nicht vertrauen. ,5ad4b737b13a5b202c4f52e2,"['ar', 'en', 'de']",blog.fami.ga,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']",Microblog der Familie Ganter,dies und das
296,"['academia', 'anime', 'art', 'games', 'music', 'tech']","Hier bei Avareborn wird alles akzeptiert:
Von Bildung zu Spielen und Anime bis hin zur Technik und Technologie.

Aber vorallem gilt hier eines:
Meinungsfreiheit.",5b01c8e70c3a8465be00085e,"['en', 'de']",social.avareborn.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks']","Social.Avareborn.de ist eine unabhängige Mastodon Instanz.
",
297,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'humor', 'journalism', 'lgbt', 'music', 'poc', 'sports', 'tech']","Code of Conduct: https://rly.wtf/about/more

Terms of Service: https://rly.wtf/terms",5b418cacbe7e871e396c5d4d,['en'],rly.wtf,"['illegalContentLinks', 'spam', 'advertising']",¯\_(ツ)_/¯,
298,['art'],Single-user instance for myself.,5b79799e8ec14f5384705941,['en'],r3bl.social,[],Single-user instance for myself.,
299,"['games', 'lgbt']",A mastodon for all your TAZ tweeting!,5b7f482cfea5ce2fe5e4781d,['en'],taz.fandom-mastodon.com,[],A mastodon for all your TAZ tweeting!,The Adventure Zone
300,"['activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'humor', 'journalism', 'lgbt', 'music', 'poc', 'sports', 'tech']",No bigots. Private invitation only.,5b806fb5fea5ce2fe5e47833,['en'],penis.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",No bigots. Private invitation only.,
301,['tech'],"Host instance for Project Make It Employees.  Those hired by Project Make It, or holding contract emails @projectmakeit.com are encouraged to join the instance for branded accounts.",5b80a83f464e003566dc9090,['en'],social.projectmakeit.com,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Host instance for Project Make It Employees. ,Software Development
302,[],"mastodon.zone is a nice general purpose instance, located in SE Asia.",5b8172d7a981976155ac79ad,['en'],mastodon.zone,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","mastodon.zone is a nice general purpose instance, located in SE Asia.",
303,[],"A comfy instance with a fondness for socialists, Marxists, Chapo Trap House, District Sentinel Radio, politics, comedy, etc.",5b8209f6e80ab079b280c14e,['en'],toot.lu,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']",Come here to talk with other leftists about socialism.,
304,[],Personal instance of @mathew@inkson.org,5b8be13784f4f12e01e8ef0a,['en'],masto.inkson.org,"['pornography_nocw', 'spam', 'advertising']",Personal instance of @mathew@inkson.org,
305,[],dizl.de ist eine kleine Mastodon-Instanz. Wir bieten einen kleinen Gemeinschaftsraum.,5b8bf16484f4f12e01e8ef0e,"['en', 'de']",dizl.de,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']",dizl.de ist eine kleine Mastodon-Instanz. Wir bieten einen kleinen Gemeinschaftsraum.,
306,[],"This is an instance for my relatives and friends. Registration is closed, sorry.",5b8d187284f4f12e01e8ef14,"['en', 'de']",mytoot.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","This is an instance for my relatives and friends. Registration is closed, sorry.",
307,"['activism', 'anime', 'games', 'lgbt', 'music', 'tech']",A basic instance for the electrocode.net community and public users.,5b8dd03336205a4e89370cfb,['en'],social.e-code.in,[],A basic instance for the electrocode.net community and public users.,
308,['furry'],A personal instance for use by Earfolds.,5b918b9236205a4e89370d11,['en'],earfolds.com,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']",Earfolds' personal Mastodon instance.,
309,[],"Gather 'round as we collectively remember the importance of things like self-determination, equality, transparency, and the public / private boundary.",5bb16ba802530563670824e2,['en'],dre.casa,"['spam', 'advertising']",dre.casa is a small but ambitious Mastodon instance with visions of grandeur.,
310,['anime'],This instance is maybe becomming something soon.,5bb233fa02530563670824e4,['en'],masto.jigoku.eu,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']",A yet experimental Instance,
311,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'games', 'humor', 'journalism', 'lgbt', 'music', 'tech']",CDMX,5bb4458d02530563670824f0,['en'],cdmx.rocks,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",CDMX,CDMX
312,[],"What's a Moosetodonian?

Official Moosetodonians are people from this local instance who are recognized for their contributions to the community. We recognize monetary donations, code contributions, and community participation and support.

Supporting This Instance

Mastdodon.club is a personally created and funded instance. Your generous donations help support the costs of operating and developing new features, which are growing with the size of our local community. Continued donations as small as $3-5 will help ensure the longevity of our instance.

Fosspay (official)
PayPal.me (alt.)
Bitcoin: 39gkNYdkm1u2kUqpkFFAtbjJ4c9MRjvnE5
A shout-out to Cloud-A Computing for discounting some of the raw infrastructure required to run this community project! It wouldn't be possible without you.

Code of Conduct

This instance is for people interacting with other people. Please no corporate shills and direct advertisement. You'll get yourself banned real fast.

Make use of Content Warnings & NSFW tags for appropriate content. Do not mis-use hashtags, they're not for promoting your products or photography in #introduction or #mastodon.

No hate speech (contributing or inciting), death threats, illegal activity, link & local stream spamming, etc.

Bots must respect the #nobot hashtag

Admin swings ban hammer, rulings final.",58e2ec2721ace530cfec9c65,['en'],mastodon.club,"['illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']","A Canadian based Mastodon platform, open to people from everywhere.","Canadians (actual and in spirit) talking about Life, IT/Tech, and Politics mostly."
313,[],"A small, friendly instance with a custom theme!

We welcome anyone who wants to come join and whatever language you speak! Anyone who creates - writing, drawing, game devs, crafting, you name it - is especially welcome, since we all do that kind of thing already. By a similar token, we are also a queer- and kink-friendly planet. ",58e5363de463473fb7236bda,"['en', 'pt']",tootplanet.space,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment']","A small, friendly instance with a custom theme!",
314,[],"[Français] 
Le Café Mammouth est une instance suisse de Mastodon tournant sur un serveur français et ouverte au monde. En particulier, nous accueillons volontiers les artistes, les illustratrices et les illustrateurs, les journalistes, les auteures et les auteurs, les bibliothécaires et les archivistes, les scientifiques, les ingénieures et les ingénieurs, les enseignantes et les enseignants, ainsi que tous les esprits curieux.

[Italiano] 
Il Mammouth Caffè è un'istanza svizzera di Mastodon installata su un server francese e aperta al mondo. Particolarmente benvenute e benvenuti sono artiste e artisti, illustratrici e illustratori, giornaliste e giornalisti, autori, bibliotecarie e bibliotecari, archivisti, scienziate e scienziati, ingegnere e ingegneri, insegnanti, così come tutte le menti curiose.

[English] 
The Mammouth Café is a Swiss Mastodon instance running on a French server and open to the world. We particularly welcome artists and illustrators, journalists and writers, librarians and archivists, scientists and engineers, teachers, as well as all curious minds.",58ecd6a34d28e55c523e80aa,"['en', 'fr', 'de', 'it']",mammouth.cafe,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']","Amusez-vous. Soyez respectueux. Pas de drame.
Divertiti. Sii rispettoso. Niente drammi.
Have fun. Be respectful. No drama.",
315,[],"If you are passionate about something, you are welcome here.",58ef249e93ec4e6e86a7694e,['en'],nrd.li,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",An instance for nerds.,Just Nerd Things
316,[],"A single user instance for Kaito Sinclaire (@KS@is.a.qute.dog), typically running custom software. Federates mostly freely.",58f69a6b5cb7f118c0e7f62a,['en'],is.a.qute.dog,"['spam', 'hateSpeeches', 'harrassment']",Single user instance for Kaito Sinclaire. Runs custom software.,"Single User, Furry, Tech"
317,"['academia', 'activism', 'art', 'books', 'journalism', 'lgbt', 'music', 'poc', 'tech']","A co-op corner of the fediverse and probably the most user-friendly social platform around ;-) 

What makes social.coop different from other Mastodon instances?


Your data in a place you control and trust 
/ Co-own the instance along with all members of the co-operative
/ Co-create our code of conduct and other policies (see our bylaws)
/ Democratically run our operations (see our Loomio group)
/ Co-finance expenses transparently (see our OpenCollective page)
/ Participate in a #platformcoop case-study
/ Join a community of like-minded people",5901cfc20c4b3c46f854d247,"['en', 'es']",social.coop,"['pornography_nocw', 'spam', 'advertising']",A co-op corner of the fediverse and probably the most user-friendly social platform around,"co-ops, democracy, cooperation, transparency, non-hierarchy, participation, community"
318,[],"Generalistic instance for chill cofe posting and shower thoughts. It runs with pleroma backend and has both the pleroma and mastodon forntend.

Mastodon frontend at: https://social.cofe.space/web
https://cofe.space/ redirects to https://social.cofe.space

Admin: @tibike@social.cofe.space",5a24041b0266502b6318bfc7,"['en', 'hu']",social.cofe.space,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",Generalistic instance for chill cofe posting and shower thoughts. It runs with pleroma backend and has both the pleroma and mastodon forntend.,
319,['adult'],"Kinky instance for cool but 18+ people.

Primarily of the growing, or already massive kinds. Some varieties of kink are kind of adjacent to the central theme, like latex outfits.

A short sampling of things you may find here, along with their tags, include:
Macro — Subjects that are fantastically tall
Micro — Subjects that are fantastically smol
Muscle — Muscular physiques. 💪
Hyper — Endowments or other areas of the body that are sized up to extreme proportions
Inflation — Expansion or filling of the body to fantastic proportions, usually with some form of gas or liquid
Expansion — A catch-all tag. Can cover any and all forms of growth.",5a3bff0d67eb6930d0cf7402,['en'],the.resize.club,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","18+ Instance focused on kink stuff like growth, shrinking, expansion, etc.",kink
320,[],"Instance françaises hébergée sur Teppelin.fr.
Tout le monde peut nous rejoindre, nous parlons français et anglais.
We talk about everything, but mostly related to Japanese culture or free software.
Everyone can join, we speak English and French.",5a6a03e446fe0471227f119a,"['en', 'fr']",mastodon.teppelin.fr,"['illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","Discussions à propos de n'importe quoi, mais surtout en rapport avec la culture japonaise ou les logiciels libres.","Generalistic, Linux, Free Software, New technologies, Anime, Manga, Memes"
321,[],Just a playground for social networks ,5a6b007f46fe0471227f119c,"['en', 'de']",snow-crash.org,[],Small playground for federated social networks,
322,"['academia', 'art', 'books', 'games', 'tech']","This is a home for people who love to tinker! Technology, philosophy, art and esoterica!

I'm particularly interested in the intersections between art and technology, philosophy and science, and all the intersecting points where those circles overlap like meditation, Freemasonry, and spirituality.

I'm also super interested in retro hardware and software, and Python is my favorite programming language, so I'd love to talk about those things, but hey, this isn't all about me! What do YOU love to tinker with?",5aaa74c81a1b3f1036f3d271,['en'],amicable.feoh.org,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","A place for tinkerers and a home for oddball ideas. Technology, philosophy, science and art and all the interesting bits where they intersect.",
323,"['activism', 'music']",hcxp.co is a Mastodon hardcore punk community instance.,5ab915e75ba9b96cea3ea1fa,['en'],hcxp.co,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks']",hcxp.co is a Mastodon hardcore punk community instance.,hardcore punk
